Known As,Full Name,Age,Overall,Positions Played,Best Position,Nationality,Club Name
P. Barrios,Pier Barrios,32,67,"CB,RB",CB,Argentina,Godoy Cruz
J. Cruz,Juan Cruz,22,66,ST,ST,Argentina,Club Atlético Banfield
N. Morgantini,Nicolás Morgantini,27,66,RB,RB,Argentina,Platense
J. Cáceres,Juan José Cáceres,22,66,"RB,RWB,CB",RB,Argentina,Racing Club
L. Nieto,Luciano Nieto,31,66,CAM,CAM,Argentina,Sport Boys
R. Cabral,Rodrigo Cabral,21,66,"LM,RM",RM,Argentina,Club Atlético Huracán
G. Benavídez,Gastón Benavídez,26,66,"RB,RWB",RB,Argentina,Club Atlético Talleres
F. Quinteros,Franco Quinteros,23,66,LB,LB,Argentina,Club Atlético Sarmiento
N. Zalazar,Nicolás Zalazar,25,66,CB,CB,Argentina,Defensa y Justicia
J. Díaz,Juan Ignacio Díaz,24,66,"LB,CB",CB,Argentina,Barracas Central
L. Janson,Lucas Janson,27,75,"LW,ST",LW,Argentina,Vélez Sarsfield
F. Peña,Felipe Peña,21,66,"CB,CDM",CB,Argentina,River Plate
S. Medina,Sebastián Medina,22,66,"LM,CAM,RM",LM,Argentina,Patronato
T. Galván,Tomás Galván,22,66,"CAM,CM",CAM,Argentina,Defensa y Justicia
L. Giannetti,Lautaro Giannetti,28,75,CB,CB,Argentina,Vélez Sarsfield
A. Máx,Augusto Máx,29,67,"CDM,CM",CDM,Argentina,Cerro Largo Fútbol Club
F. Almada,Facundo Almada,23,68,CB,CB,Argentina,Rosario Central
M. Ramírez,Matías Ramírez,23,68,"LM,ST",CAM,Argentina,Godoy Cruz
G. Canto,Gustavo Canto,28,68,"CB,LB",CB,Argentina,Arsenal de Sarandí
A. Martínez,Alejandro Martínez,24,68,"LM,RM",LM,Argentina,Club Atlético Central Córdoba
C. Bernardi,Christian Bernardi,32,74,"CAM,RM,CM",RW,Argentina,Club Atlético Colón
V. Vada,Valentín Vada,26,68,"CAM,LM,CM",CM,Argentina,Real Zaragoza
J. Garro,Juan Garro,29,68,"LW,RW,ST",ST,Argentina,Newell's Old Boys
B. Martínez,Braian Martínez,22,68,"RW,RM",CAM,Argentina,Club Atlético Aldosivi
A. Schott,Augusto Schott,22,68,RB,RB,Argentina,Club Atlético Colón
C. Arce,Carlos Arce,31,68,"CDM,CM",CDM,Argentina,Barracas Central
L. Viatri,Lucas Viatri,35,68,ST,ST,Argentina,Club Atlético Peñarol
M. Garay,Martín Garay,23,68,"RB,RM",RB,Argentina,Atlético Tucumán
E. Rolón,Esteban Rolón,27,68,CDM,CDM,Argentina,Boca Juniors
G. Gil Romero,Gastón Gil Romero,29,68,"CDM,CM",CDM,Argentina,Atlético Tucumán
L. Gondou,Luciano Gondou,21,68,ST,ST,Argentina,Club Atlético Sarmiento
E. Orfano,Esteban Orfano,30,68,"RM,RB",RM,Argentina,Royal Pari
L. Acosta,Lucas Acosta,27,68,GK,GK,Argentina,Club Atlético Sarmiento
M. Coronel,Mateo Coronel,23,68,"LM,ST",CAM,Argentina,Atlético Tucumán
B. Cuesta,Bernardo Cuesta,33,74,ST,ST,Argentina,FBC Melgar
N. Castro,Nicolás Eduardo Castro,31,68,"CM,LM,RM",CF,Argentina,Patronato
J. Amoroso,Joel Amoroso,34,68,"RM,LM",RM,Argentina,Royal Pari
A. Vombergar,Andrés Vombergar,27,68,"ST,CF",ST,Argentina,San Lorenzo de Almagro
M. Formica,Mauro Formica,34,68,"CAM,CM",CAM,Argentina,Club Atlético Colón
E. Ramírez,Eric Ramírez,25,68,"ST,RM",ST,Argentina,Gimnasia y Esgrima La Plata
R. Battaglia,Rodrigo Battaglia,30,74,"CM,CDM",CDM,Argentina,RCD Mallorca
L. Sánchez,Luciano Sánchez,28,68,"RB,LB",RB,Argentina,Argentinos Juniors
Z. Romero,Zaid Romero,22,68,CB,CB,Argentina,LDU Quito
J. Devecchi,José Devecchi,26,74,GK,GK,Argentina,Club Atlético Aldosivi
A. Maldonado,Alexis Maldonado,24,68,CB,CB,Argentina,Club Atlético Banfield
R. Garro,Rodrigo Garro,24,68,"CAM,LM",CAM,Argentina,Club Atlético Talleres
F. Valenzuela,Fernando Valenzuela,25,68,"LM,LW,RM",CAM,Argentina,Barracas Central
M. Curado,Marcos Curado,27,68,CB,CB,Argentina,Perugia
L. Vietto,Luciano Vietto,28,74,"CAM,LW,ST",CAM,Argentina,Al Hilal
L. Pratto,Lucas Pratto,34,74,ST,ST,Argentina,Vélez Sarsfield
M. Galarza,Matías Galarza,20,68,CM,CAM,Argentina,KRC Genk
N. Paz,Nehuén Paz,29,68,"CB,LB",CB,Argentina,Estudiantes de La Plata
E. Coronel,Emanuel Coronel,25,68,RB,RB,Argentina,Club Atlético Banfield
N. Leguizamón,Nicolás Leguizamón,27,68,ST,ST,Argentina,Club Atlético Central Córdoba
M. Pittón,Mauro Pittón,27,68,"CM,CDM,RM",CM,Argentina,Arsenal de Sarandí
A. Sández,Agustín Sández,21,68,LB,LB,Argentina,Boca Juniors
E. Iñíguez,Emanuel Iñíguez,25,68,"RB,LB",RB,Argentina,Club Atlético Aldosivi
F. Tobio,Fernando Tobio,32,68,CB,CB,Argentina,Club Atlético Huracán
C. Riaño,Claudio Riaño,33,68,ST,ST,Argentina,Club Atlético Central Córdoba
S. Simón,Santiago Simón,20,74,"RM,CM",CAM,Argentina,River Plate
N. Cordero,Nicolás Cordero,23,68,"ST,RW",ST,Argentina,Club Atlético Huracán
C. Ansaldi,Cristian Ansaldi,35,75,"LWB,LB,LM",LWB,Argentina,Parma
W. Bou,Walter Bou,28,75,"ST,CF,CAM",ST,Argentina,Vélez Sarsfield
B. Rivero,Braian Rivero,26,67,"CDM,CM",CDM,Argentina,Arsenal de Sarandí
A. Varela,Alan Varela,20,75,"CDM,CM",CDM,Argentina,Boca Juniors
J. Aude,Julián Aude,19,67,"LB,CDM",LM,Argentina,Club Atlético Lanús
B. Aguirre,Braian Aguirre,21,67,"RB,LB,RM",RB,Argentina,Club Atlético Lanús
M. Guanini,Manuel Guanini,26,67,CB,CB,Argentina,Club Atlético Sarmiento
V. Gómez,Valentín Gómez,19,67,"CB,LB",CB,Argentina,Vélez Sarsfield
G. Higuaín,Gonzalo Higuaín,34,75,ST,ST,Argentina,Inter Miami CF
M. Orihuela,Matías Orihuela,30,67,"LB,LM",LB,Argentina,Atlético Tucumán
M. Palacios,Matías Palacios,20,67,"CAM,CM",CAM,Argentina,Al Ain FC
N. Pérez,Nehuén Pérez,22,75,CB,CB,Argentina,Udinese Calcio
J. Bauza,Juan Bauza,26,67,"CAM,LM,RM",CAM,Argentina,FC U Craiova 1948
G. Enrique,Guillermo Enrique,22,67,RB,RB,Argentina,Gimnasia y Esgrima La Plata
A. Mulet,Agustín Mulet,22,67,"CM,CDM",CM,Argentina,Vélez Sarsfield
D. Ayala,David Ayala,19,67,"CDM,CM",CDM,Argentina,Portland Timbers
L. González,Leonel González,28,67,"CB,LB",CB,Argentina,Argentinos Juniors
A. Barboza,Alexander Barboza,27,75,CB,CB,Argentina,Club Libertad
F. Zuqui,Fernando Zuqui,30,75,"CM,CAM,CDM",CM,Argentina,Estudiantes de La Plata
N. Thaller,Nicolás Thaller,23,67,CB,CB,Argentina,Atlético Tucumán
L. Heredia,Leonardo Heredia,26,67,"ST,LM",ST,Argentina,Estudiantes de La Plata
F. Zabala,Facundo Zabala,23,67,LB,LB,Argentina,Venezia FC
J. Acevedo,Jonás Acevedo,25,67,"RM,CM,LM",CAM,Argentina,Patronato
R. González,Ramiro González,31,68,CB,CB,Argentina,Platense
G. Goñi,Gonzalo Goñi,23,68,CB,CB,Argentina,Arsenal de Sarandí
L. Melano,Lucas Melano,29,68,"RW,LW,ST",RW,Argentina,Newell's Old Boys
F. Mater,Facundo Mater,23,68,"RM,RB,CM",CDM,Argentina,Barracas Central
B. Garré,Benjamín Garré,21,68,"RM,RW,LW",LM,Argentina,Club Atlético Huracán
N. Demartini,Nicolás Demartini,22,68,CB,CB,Argentina,Club Atlético Tigre
R. Lozano,Raúl Alberto Lozano,24,68,"RB,LB",RWB,Argentina,Patronato
L. Ursino,Luciano Ursino,33,68,"CAM,RW,CM",CAM,Argentina,Club The Strongest
B. Merlini,Bautista Merlini,26,74,"LM,LW,RM",LM,Argentina,Club Libertad
I. Pussetto,Ignacio Pussetto,26,74,"ST,CF",ST,Argentina,U.C. Sampdoria
F. Mac Allister,Francis Mac Allister,26,68,"CDM,CM",CM,Argentina,Rosario Central
F. Escobar,Franco Escobar,27,68,"RB,CB",RB,Argentina,Los Angeles FC
M. Esquivel,Matías Esquivel,23,68,"CM,CAM",CAM,Argentina,Club Atlético Talleres
G. Maroni,Gonzalo Maroni,23,68,"CAM,LW",CAM,Argentina,San Lorenzo de Almagro
C. Chimino,Christian Chimino,34,68,RB,RB,Argentina,Arsenal de Sarandí
I. Pillud,Iván Pillud,36,68,RB,RB,Argentina,Racing Club
A. Solari,Augusto Solari,30,74,"RM,LM",RM,Argentina,RC Celta de Vigo
J. Sand,José Sand,41,74,ST,ST,Argentina,Club Atlético Lanús
M. Soulé,Matías Soulé,19,68,RW,LM,Argentina,Juventus
B. Calderara,Brian Calderara,24,67,LB,LWB,Argentina,Barracas Central
G. Mainero,Guido Mainero,27,68,"RM,RW",RM,Argentina,Club Atlético Sarmiento
L. Balerdi,Leonardo Balerdi,23,75,CB,CB,Argentina,Olympique de Marseille
A. Díaz,Alexander Díaz,22,66,ST,ST,Argentina,Arsenal de Sarandí
G. Nardelli,Gian Nardelli,22,65,"CB,RB",CB,Argentina,Club Atlético Colón
I. Cortez,Ismael Cortez,22,65,RB,RB,Argentina,Rosario Central
S. Palacios,Sebastián Palacios,30,76,"RW,LW",RW,Argentina,Panathinaikos FC
L. Pizarro,Luciano Pizarro,24,65,"LM,CAM",RM,Argentina,Godoy Cruz
L. Geminiani,Lautaro Geminiani,31,65,"RB,LB",RB,Argentina,Patronato
F. Zampedri,Fernando Zampedri,34,76,ST,ST,Argentina,Universidad Católica
F. Suárez,Facundo Suárez,28,65,ST,ST,Argentina,Club Deportivo Oriente Petrolero
R. Aliendro,Rodrigo Aliendro,31,76,"CM,CDM",CM,Argentina,River Plate
C. Lattanzio,Carlo Lattanzio,24,65,"LM,CM,LW",LM,Argentina,Platense
L. Esquivel,Lucas Esquivel,20,65,"LB,LWB",LB,Argentina,Unión de Santa Fe
S. Meza,Sebastián Meza,22,65,GK,GK,Argentina,Club Atlético Sarmiento
L. Ojeda,Leandro Ojeda,20,65,LB,LB,Argentina,Club Atlético Colón
F. Paradela,Federico Paradela,23,65,CM,CAM,Argentina,Club Atlético Sarmiento
D. Fernández,Damián Fernández,21,65,CB,CB,Argentina,Vélez Sarsfield
I. Escobar,Ian Escobar,26,65,"LB,LWB",LB,Argentina,Club Atlético Aldosivi
N. Romero,Nazareno Romero,22,65,LB,LB,Argentina,Rosario Central
J. Fernández,Julián Fernández,18,65,"RW,LW",LW,Argentina,Vélez Sarsfield
J. Ibáñez,Joaquín Ibáñez,25,65,LM,LM,Argentina,Arsenal de Sarandí
I. Maestro Puch,Ignacio Daniel Maestro Puch,18,65,ST,ST,Argentina,Atlético Tucumán
I. Marcone,Iván Marcone,32,76,"CDM,CM",CDM,Argentina,Club Atlético Independiente
J. Bigo,Joaquin Bigo,23,65,GK,GK,Argentina,Arsenal de Sarandí
L. Romero,Lucas Romero,28,76,"CDM,CM",CDM,Argentina,Club Atlético Independiente
J. Pastore,Javier Pastore,33,76,"CAM,CM",CAM,Argentina,Elche CF
T. Escalante,Tomás Escalante,22,65,CM,CAM,Argentina,Defensa y Justicia
S. Ojeda,Sergio Ojeda,30,65,CB,CB,Argentina,Patronato
L. Montoya,Lautaro Montoya,27,65,"LB,LM",LB,Argentina,Club Atlético Central Córdoba
J. Blázquez,Joaquín Blázquez,21,65,GK,GK,Argentina,Stade Brestois 29
D. Juárez,Daniel Eduardo Juárez,20,65,"RM,RW,LM",ST,Argentina,Unión de Santa Fe
A. Sabella,Alexis Sabella,21,65,"CM,LM",CAM,Argentina,Platense
B. Galván,Braian Galván,21,65,"LM,LWB,RM",LM,Argentina,Colorado Rapids
O. Salomón,Oscar Salomón,23,65,CB,CB,Argentina,Club Atlético Tigre
J. Indacoechea,Joaquín Indacoechea,21,65,"RB,CM",CM,Argentina,Club Atlético Aldosivi
B. Cuello,Brahian Cuello,24,65,"RM,LM,CM",RM,Argentina,Defensa y Justicia
M. Peano,Marcos Peano,23,65,GK,GK,Argentina,Defensa y Justicia
N. Leyes,Nery Leyes,32,65,"CDM,CM",CDM,Argentina,Gimnasia y Esgrima La Plata
A. Obando,Agustín Obando,22,65,LM,LM,Argentina,Club Atlético Tigre
M. Peralta Bauer,Mariano Peralta Bauer,24,65,"ST,RW",ST,Argentina,Unión de Santa Fe
M. Duarte,Manuel Duarte,20,65,"RM,CAM",RM,Argentina,Defensa y Justicia
J. Iritier,Javier Iritier,27,65,"LW,RM,LM",LW,Argentina,Club Atlético Aldosivi
F. Angileri,Fabrizio Angileri,28,76,"LB,LWB",LB,Argentina,Getafe CF
L. Sigali,Leonardo Sigali,35,76,CB,CB,Argentina,Racing Club
T. Nuss,Thiago Nuss,21,65,"RM,RW,ST",ST,Argentina,Argentinos Juniors
E. Barrios,Eric Barrios,24,65,"CM,CDM",CAM,Argentina,Ayacucho
T. Marchiori,Tomás Marchiori,27,65,GK,GK,Argentina,Atlético Tucumán
L. Buter,Leonel Buter,29,65,ST,ST,Argentina,Independiente Petrolero
I. Don,Ignacio Don,40,64,GK,GK,Argentina,Club Libertad
E. Ozuna,Emiliano Ozuna,26,64,"LM,LW",LW,Argentina,Club Sol de América
I. Protti,Ijiel Protti,27,64,"ST,CAM,RW",LW,Argentina,Club Atlético Tigre
F. Flores,Francisco Flores,20,64,"CB,RB",CB,Argentina,San Lorenzo de Almagro
Á. Barreal,Álvaro Barreal,21,64,"RM,LM",CAM,Argentina,FC Cincinnati
L. Vega,Leandro Vega,26,64,"CB,LB",CB,Argentina,CD Antofagasta
M. Suárez,Matías Suárez,34,77,"ST,LW",CAM,Argentina,River Plate
L. Spatz,Lautaro Marco Spatz,20,64,"CB,RB",CB,Argentina,Cádiz CF
G. Bou,Gustavo Bou,32,77,"ST,CF",ST,Argentina,New England Revolution
R. Sordo,Ramiro Sordo,22,64,"LW,LM,ST",RM,Argentina,Newell's Old Boys
L. Rodríguez,Luis Miguel Rodríguez,37,77,"ST,CF,CAM",CAM,Argentina,Club Atlético Colón
F. Ortellado,Franco Ortellado,21,64,CB,CB,Argentina,Club Atlético Lanús
N. Banegas,Nahuel Banegas,25,64,"LB,CB",LB,Argentina,Club Atlético Central Córdoba
G. Pezzella,Germán Pezzella,31,77,CB,CB,Argentina,Real Betis Balompié
L. Brochero,Lucas Brochero,23,64,"RM,CAM,RW",RM,Argentina,Arsenal de Sarandí
G. Aranda,Gabriel Aranda,21,64,CB,CB,Argentina,Boca Juniors
J. Rodríguez,Jonathan Rodríguez,32,64,"CDM,CM",CM,Argentina,Sepsi OSK Sf. Gheorghe
E. Mancuso,Eros Mancuso,23,64,RB,RWB,Argentina,Estudiantes de La Plata
L. Boyé,Lucas Boyé,26,77,ST,ST,Argentina,Elche CF
D. Calcaterra,Diego Calcaterra,20,64,"CB,CDM",CB,Argentina,San Lorenzo de Almagro
J. López,Julián López,22,65,"CM,CDM,CAM",CAM,Argentina,Defensa y Justicia
J. Guasone,Juan Guasone,21,64,CB,CB,Argentina,Patronato
N. Ratti,Nicolás Ratti,28,64,GK,GK,Argentina,FC Andorra
F. Buonanotte,Facundo Buonanotte,17,65,"CAM,RM,LM",CAM,Argentina,Rosario Central
L. Garate,Leandro Garate,28,65,ST,ST,Argentina,Unión Española
T. Jacob,Tomás Jacob,18,64,RB,RB,Argentina,Newell's Old Boys
L. Carrizo,Lucas Carrizo,25,64,LB,LB,Argentina,Club Atlético Huracán
T. Lecanda,Tomás Lecanda,20,64,"CB,RB,RWB",CB,Argentina,Club Atlético Aldosivi
Alejandro Garnacho,Alejandro Garnacho Ferreyra,18,64,"LW,LM,RM",LW,Argentina,Manchester United
P. Minissale,Pablo Minissale,21,64,CB,CB,Argentina,Argentinos Juniors
G. Añasgo,Gonzalo Añasgo,25,64,"LB,LM",LWB,Argentina,Club Always Ready
P. Ostachuk,Patricio Ostachuk,22,64,CB,CB,Argentina,Club Atlético Independiente
V. Castellanos,Valentin Castellanos,23,77,ST,ST,Argentina,Girona FC
R. Lucero,Rufino Lucero,20,64,"RB,RWB",RB,Argentina,Club Atlético Aldosivi
J. Pombo,Joaquín Pombo,21,64,CB,CB,Argentina,Arsenal de Sarandí
M. Sanabria,Mateo Sanabria,18,64,"LM,LW",RM,Argentina,Club Atlético Lanús
F. Godoy,Fernando Godoy,32,64,"CM,CDM",CDM,Argentina,Club Atlético Huracán
L. Marchi,Leonardo Marchi,25,64,LB,LWB,Argentina,Arsenal de Sarandí
L. Ferreyra,Luciano Ferreyra,20,64,"LM,CAM",RM,Argentina,Rosario Central
M. Roffo,Manuel Roffo,22,64,GK,GK,Argentina,Club Atlético Tigre
M. Galmarini,Martín Galmarini,40,64,"RB,RM",RB,Argentina,Club Atlético Tigre
G. Verón,Gastón Verón,21,64,ST,ST,Argentina,Argentinos Juniors
C. Zabala,Cristian Zabala,24,64,"CM,RM,CAM",CAM,Argentina,Club Atlético Tigre
V. Viola,Valentín Viola,30,66,"ST,LM,RM",ST,Argentina,Barracas Central
M. Morello,Matías Morello,21,65,CM,CM,Argentina,Club Atlético Aldosivi
M. González,Maximiliano González,18,65,"CDM,CM",CDM,Argentina,Club Atlético Lanús
A. Antilef,Alejo Antilef,23,66,"CM,CAM",CAM,Argentina,Arsenal de Sarandí
E. López,Elías López,21,66,RB,RM,Argentina,Godoy Cruz
B. Sepúlveda,Bruno Sepúlveda,29,66,ST,ST,Argentina,Barracas Central
M. Moralez,Maxi Moralez,35,76,"CAM,CM",CAM,Argentina,New York City FC
L. Biglia,Lucas Biglia,36,76,"CDM,CM",CDM,Argentina,İstanbul Başakşehir FK
J. Kaprof,Juan Cruz Kaprof,27,66,"ST,CF,CAM",RW,Argentina,Club Atlético Central Córdoba
N. Bazzana,Nicolás Bazzana,26,66,CB,CB,Argentina,Delfín Sporting Club
G. Simeone,Giuliano Simeone,19,66,"ST,LM,LW",ST,Argentina,Real Zaragoza
F. Cambeses,Facundo Cambeses,25,66,GK,GK,Argentina,Club Atlético Banfield
G. Fernández,Guillermo Fernández,30,76,"CM,CDM",CM,Argentina,Boca Juniors
L. Ojeda,Luis Ojeda,32,66,GK,GK,Argentina,Club Sol de América
A. Cabrera,Alejandro Cabrera,29,66,"CDM,CM",CDM,Argentina,Club Atlético Banfield
F. Petroli,Franco Petroli,24,66,GK,GK,Argentina,River Plate
F. Vázquez,Franco Vázquez,33,76,"CAM,CM",CAM,Argentina,Parma
C. Beltrán,Carlos Beltrán,31,66,"CB,CDM",CB,Argentina,Cienciano
D. Sosa,Diego Sosa,24,66,LB,LB,Argentina,Club Atlético Tigre
L. Valenti,Lautaro Valenti,23,66,CB,CB,Argentina,Parma
A. Gabbarini,Adrián Gabbarini,36,66,GK,GK,Argentina,LDU Quito
L. Langoni,Luca Langoni,19,66,RW,RW,Argentina,Boca Juniors
F. Grahl,Francisco Grahl,30,66,"CM,CDM,CAM",CM,Argentina,Club Atlético Central Córdoba
S. Echeverría,Santiago Echeverría,32,66,"CB,RB",CB,Argentina,Club Deportivo Jorge Wilstermann
I. Machuca,Imanol Machuca,22,66,"RM,LM",CAM,Argentina,Unión de Santa Fe
S. Prieto,Sebastián Prieto,29,66,LB,LB,Argentina,Club Atlético Tigre
A. Velasco,Alan Velasco,19,75,"LM,LW,CAM",CAM,Argentina,FC Dallas
A. Palavecino,Agustín Palavecino,25,75,"CM,CAM",CAM,Argentina,River Plate
J. Brea,Julián Brea,22,66,"LM,ST",RM,Argentina,Club Atlético Sarmiento
L. Suárez,Lucas Suárez,27,66,"LB,CB",CB,Argentina,Club Atlético Talleres
B. Vides,Bruno Vides,29,66,"ST,LW",ST,Argentina,Club Atlético Huracán
E. Roldán,Enzo Roldán,21,66,"CM,RM,CDM",CAM,Argentina,Unión de Santa Fe
J. Valdez Chamorro,Jorge Valdez Chamorro,28,66,"CM,CAM",RM,Argentina,Patronato
A. Blanco,Alexis Blanco,34,66,ST,ST,Argentina,Sport Boys
A. Veliz,Alejo Veliz,18,66,"ST,CF",ST,Argentina,Rosario Central
S. Quiroga,Sergio Quiroga,28,66,"CAM,CM",RM,Argentina,Club Atlético Sarmiento
L. Miranda,Leonel Miranda,28,75,"CM,CDM",CM,Argentina,Racing Club
J. Navas,Julián Navas,28,66,"RB,RM",RB,Argentina,Arsenal de Sarandí
